publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-09T13:20:35Z,@yanaatangdaryana7029,Udahhh😊😊😊😊😊😊😊😊😊😊😊😊😊,0
2025-11-09T13:01:12Z,@MaulidaRosulika,Aku belum dapat mbg:makan bergizi gratis,0
2025-11-09T12:22:23Z,@vivieanetha5624,Aku Bukan indonesia aku Malaysia,0
2025-11-09T12:01:46Z,@AnandaAdi-n2v,Aku udah dapet 2 minggu 😎,0
2025-11-09T11:23:26Z,@FanezaSgn,Aku luan dapat mbg luan,0
2025-11-09T10:34:29Z,@Yayong2025,BLum,0
2025-11-09T10:16:52Z,@Jumli1984,😢😢,0
2025-11-09T10:16:47Z,@Jumli1984,Aku belum dapat 🥲🥲,0
2025-11-09T09:52:46Z,@AbianAzizan,Hai,0
2025-11-09T09:52:41Z,@AbianAzizan,Aku bisa bahasa jepang 😊私は傲慢ではない 😊,0
2025-11-09T09:30:53Z,@elilubislubis7519,Udah,0
2025-11-09T09:03:58Z,@Hana-mj5dh,1hdkhddhjeveekejvekdgdhekevelsjvslegdgdodheheoehwlw     hegdkdjdkdkjrgdhe        hehjehdheksjvsjd😊hehkekekekke😂ndjdkdjhsksjdhkddhhd😮hdkehepeheojejejehje,0
2025-11-09T08:30:11Z,@JeremiaGinting-i8e,Aku tidak pernaah,0
2025-11-09T08:13:54Z,@UmiUmi-d1j,Aku lagi dapat,0
2025-11-09T07:47:37Z,@HariniRinihar-q5w,Sudah dari September paling 👎,0
2025-11-09T05:46:05Z,@irfanhaerudin4427,Aku dapat embege dari kelas dua,0
2025-11-09T05:46:05Z,@irfanhaerudin4427,Aku dapat embege dari kelas dua,0
2025-11-09T04:41:43Z,@SitiAisyah-sc6jc,aku kelas 1b  ambg aku ayam,0
2025-11-09T04:34:20Z,@jayaparmanta8892,MAU❤🎉,0
2025-11-09T04:02:19Z,@SherlyRizkiana-t2h,Kakak  Aaku  TK,0
2025-11-09T04:02:01Z,@pusakapusaka-c6m,Aku dapat nya setiap hari 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,0
2025-11-09T03:57:41Z,@zaitulnaziah,Aku orang Malaysia woi!!!!!!!!!!,0
2025-11-09T03:56:56Z,@zaitulnaziah,Aku orang Malaysia woi!!!!!,0
2025-11-09T03:50:53Z,@auliaazizah7051,aku dapat,0
2025-11-09T03:23:51Z,@WindaTampubolon-f8s,Aku sudah dapat kak tapi hati hati yang udah dapat mbg mungkin ada racun nya,0
2025-11-09T03:21:33Z,@WindaTampubolon-f8s,Aku sudah dapat kak,0
2025-11-09T01:32:51Z,@maderada4736,Yaela... Mala........ Habis🤯,0
2025-11-08T23:12:26Z,@Apit-s2v,AKU BELUM PAK,0
2025-11-08T22:12:44Z,@fiandraseptiandirgantara8481,Belum😭😭😭😭😭😭😭😭😭😭😭,0
2025-11-08T17:18:19Z,@MuhammadArtanabil-pk6qh,Game yang udah dapat sini ngumpul di bawah,0
2025-11-08T15:37:26Z,@keishaalifahazzahra,Aku belum dapet katanya nanti november tanggal brp gitu katanya soalnya dapurnya blm jadi,0
2025-11-08T14:29:06Z,@imanadit6147,Aku udah dpt kak,0
2025-11-08T14:24:21Z,@Siswoyanto-o5r,Tapi itu racun,0
2025-11-08T14:20:15Z,@keluarga01-k3y,SMP negeri 5 Minas kapan 😢,0
2025-11-08T13:06:51Z,@FajarUdin-n8k,Saya dapat mbg setiap hari,0
2025-11-08T12:42:05Z,@Andika25-r1e,Ka Aku dapat Mbg😊😊😊,0
2025-11-08T12:26:14Z,@ainazahira20,aku belum kelas 2 baru dibagi,0
2025-11-08T12:25:26Z,@RudiGuen,Mbg,0
2025-11-08T12:23:52Z,@arifinarifin-qg8hx,MBG🤮🤮🤢🤢🤢🤢🤢🤢🤢🤮🤢🤮🤮🤢🤢🤢🤮🤢🤢🤮🤢🤢🤢🤢🤮🤢🤢,0
2025-11-08T11:20:19Z,@AyuWidya-w1m,Aku libur MBG nya setiap hari ada susu dan juga ada telur senang banget kalau ada susunya 😊,0
2025-11-08T10:50:40Z,@missari1350,aku sd 2 asah duren udah dapat,0
2025-11-08T10:44:45Z,@DavinDavin-m9u,aku sudah dapet MBG,0
2025-11-08T10:39:37Z,@rosmeydiaritonang,Team Yang udah dpt sini ngumpul,0
2025-11-08T10:22:51Z,@FitriSaroh-fs2yd,Udah❤,0
2025-11-08T09:52:49Z,@Rezqiels,Kata ibu wali kelas aku insyaallah nanti sekolahan aku dapat mbg,0
2025-11-08T08:57:21Z,@BoimViaaa,Mbg,1
2025-11-08T08:49:57Z,@AadidiEwok,Aku uda emang kamu udah,0
2025-11-08T08:36:01Z,@tehpaitmanis,Aku udah dapat MBG,0
2025-11-08T08:32:05Z,@YusniaSriRahayu,Aku,0
2025-11-08T06:26:29Z,@ikasysnorita5398,aku sudah dapat mbg,0
2025-11-08T06:25:29Z,@NaelyNurF,Akuuu enak banget,0
2025-11-08T05:03:31Z,@masdarop2211,"Robert , can I lay is blooma budapa play happy manuaya i&#39;m keepsy lay barrow , da , s tell a , who and apparently and be birthday party took place , lima , put up a pinya , two plus in a bay , do my facility probable",0
2025-11-08T03:53:53Z,@SidhiqAlfahridzy,Aku udah dapat mbg,0
2025-11-08T02:31:11Z,@jefriferonika1334,Aku uda makan mbg,0
2025-11-08T01:40:31Z,@LusianaSaputri-tz5dl,Aku udah dapat mbg bang😅😊,0
2025-11-07T15:08:20Z,@YusufEfendi-p8x,Besok,0
2025-11-07T13:40:38Z,@Supri-rx1no,Aku,0
2025-11-07T12:56:20Z,@FatimatuzzahraKautsar,Aku.   Dari.  Teka   Sampay.  Sd.   Udah.  Dapet.  Embg,0
2025-11-07T12:33:43Z,@Zelmir33,Tim yang udah MBG ngumpul,0
2025-11-07T12:03:28Z,@AbsyarSafarazRamghazal,udah,0
2025-11-07T10:23:18Z,@SehatSelalu-f2g,Kak tolong di info kan SDn pamutuh belum di beri plis di info kan,0
2025-11-07T10:02:27Z,@MohHayat-b3j,Tim yang tidak dapat mbg ngumpul,0
2025-11-07T09:09:45Z,@AkunUmii-e1i,BELUM ada MBG,0
2025-11-07T08:35:41Z,@megaidar218,L,0
2025-11-07T08:11:34Z,@Derobi-k6q,"Aku,udah,lama",0
2025-11-07T08:09:09Z,@HilalNurhafifah-d1e,Aku udah dapat mbg kalau kalian udah dapat belum?,0
2025-11-07T07:40:42Z,@AzkiaHusna-il6uj,Kalo aku sama temen temen aku besok Senin ini tanggal 10 November ❤❤❤,0
2025-11-07T05:39:27Z,@DepiNafsa,Yang udh dapet MBG ngumpul<br>👇<br>👇<br>👇,0
2025-11-07T05:22:23Z,@ShalmanAlbassam,Aku❤❤❤❤❤,0
2025-11-07T04:05:23Z,@ArdanPutra-f1k,"Jangan seneng dong saat ada mbg disekolah teman ku ada temanku yang membawanya pulang an<a href=""http://www.youtube.com/results?search_query=%23ing"">#ing</a>😂😂😂",0
2025-11-07T04:02:58Z,@BoeNissa,Temen gw yang kena racun☠️,0
2025-11-07T03:29:31Z,@juneysartiga8961,Aku udah  dapat. MBG,0
2025-11-07T03:15:16Z,@SusiHandayani-jq2mz,Untung aku gak dapat mbg jadi gak like,0
2025-11-07T03:00:01Z,@agungvlog3541,Pasti orang,0
2025-11-06T23:38:46Z,@MarniKeanushanum,Ko,0
2025-11-06T21:55:29Z,@Aufar_bacon,Aku udah,0
2025-11-06T15:36:46Z,@HanaAhnaf,Pengen mbg beneran 😢😢,0
2025-11-06T14:03:03Z,@korizen_zfr5467,Aku dah dapat mbg,0
2025-11-06T14:01:43Z,@MirnawatiDewi-p3r,Belum,0
2025-11-06T13:39:29Z,@elyanurjanah3270,5555,0
2025-11-06T13:23:31Z,@AkhdanAmmar,Aku belum dapat mbg di sekolah ku soalnya takutnya bera&quot;un,0
2025-11-06T13:18:39Z,@rozimely7782,Aku udah tapi nggak Ada racunnya sih,0
2025-11-06T12:54:17Z,@IndraIndra-ww8pb,Gue mah sehari makan mbg,0
2025-11-06T12:37:54Z,@IndriFebriYani-x6k,Aku setiap hari dapat mbg kak 🥰🥰🥰🤣🤣,0
2025-11-06T12:31:21Z,@SoniaDethan,Aku juga udah dapat,0
2025-11-06T12:02:42Z,@EdySusanto-d8u,Aku sudah dpt  mbg,0
2025-11-06T12:02:26Z,@udinsaepudin6454,Aku suka mbg🎉🎉🎉🎉❤❤❤❤,0
2025-11-06T11:46:37Z,@IingGuswintari,Ufrrt5gfgfvdgffrg tdtet5fr 34 ❤❤❤❤❤,0
2025-11-06T11:37:29Z,@alfarizie1972,Belum dapat mbg di sekolah SD,0
2025-11-06T11:09:30Z,@m.akromulikhsan4390,Aku sih di sekolah setiap hari selalu dapat MBG,0
2025-11-06T11:04:29Z,@yuniriana7721,Udah dari bulan lalu sampe bosen,0
2025-11-06T11:00:10Z,@maulanalatif5438,Dapat sudah lama sih 😅,1
2025-11-06T10:56:59Z,@harisson-l5g,Saya,0
2025-11-06T10:43:29Z,@SitiRobiah-v9q,Aku dapat mbg ❤❤❤❤❤❤❤,0
2025-11-06T10:40:27Z,@HerosNathan-s1g,Belum anjing cok lah kapan Cok sd 1 tanjung raya dapat,0
2025-11-06T10:31:28Z,@NurZea-z4r,Aku sudah dapat MBG gak beracun,0
2025-11-06T10:31:19Z,@NurZea-z4r,Aku sudah dapat MBG gak beracun,0
2025-11-06T10:30:59Z,@NurZea-z4r,Aku sudah dapat MBG gak beracun,0
2025-11-06T10:30:58Z,@NurZea-z4r,Aku sudah dapat MBG,0
2025-11-06T10:30:36Z,@NurZea-z4r,Aku sudah dapat MBG,0
2025-11-06T10:25:38Z,@NadaFajria-s4t,Aku udh dapet 😊,0
2025-11-06T09:50:44Z,@Yukichanbay,Aku udah depettt,0
2025-11-06T09:35:10Z,@AdriyanSalman,Aku tak suka mbg,0
2025-11-06T08:36:21Z,@SulisTyowati-du5qs,sudah,0
2025-11-06T07:24:52Z,@nurullaily-b4i,Gua udah dapat MBG😎😎😎🤟🤟🤟,0
2025-11-06T07:08:15Z,@rendiuwuu2497,Belum dapet baru RESMI DI BUKA KATANYA HARI SENIN DEPAN,0
2025-11-06T06:45:41Z,@yenidianti9828,Sekolah aku belum dapat😢,0
2025-11-06T06:33:47Z,@JuwartiZahra-f4g1s,😊😊😊😅😅🤣🤣🤣😀😀,0
2025-11-06T06:25:30Z,@AvaAja-f5m,aku nggak suka makan embege😊😊😊😊,0
2025-11-06T06:06:53Z,@Nadira-h2t,Aku dpt,0
2025-11-06T05:54:47Z,@AnDin-o2c,Udah 5 kali dapet,0
2025-11-06T05:39:45Z,@KartikaPanjaitan-s5d,🏫sekolahkuudastop,1
2025-11-06T05:36:06Z,@WarkanaWarkana,Aku. Sekolah  dapat  mbg. Enak. Banget. Beneran❤❤❤,0
2025-11-06T05:13:39Z,@goguna685,Aku setiap hari dapat <br>       Aku sudah dapet mbg tadi juga dapat lauk nya soto sapi telur asin bukan dari ayam ya ada duduh nya terus ada sambel juga dan buah nya jeruk 🍊🍊🍊 <br>Yang pernah dapat ngumpul sini ngaak maksa kokk 👇🏻👇🏻👇🏻,0
2025-11-06T04:12:28Z,@NcaaaMomoyoo,Aku udah dapet,0
2025-11-05T23:05:17Z,@ahkoi2989,Aku sekarang dapat MBG,0
2025-11-05T15:22:23Z,@YantiAqila-k7u4f,5 tahun MBG baru selesai 😢😢😢😢,0
2025-11-05T14:32:06Z,@AlfinAlfinur,Saya sudah,0
2025-11-05T13:55:24Z,@AlunaMecca-h5u,Besok yeyyy 😄😄😃😄😄😃😄😃😃😃😃😃😃😃😃😃😃😄😃😄😄😄😃😃😃😃😃😃😃😃😃😄😄😃😃😃😄😄,0
2025-11-05T13:07:11Z,@bektikuntadi9750,Aku udah dapat MBG❤,0
2025-11-05T13:01:20Z,@qomariyahIman,Aku belum😊,0
2025-11-05T12:46:57Z,@Erna-d9k9i,Bagan Batu Riau terdapat mbg 001 Bagan Batu Kota Riau pubg kami makanya tadi anggur ma&#39;lum Rio Andika Samosir ya mbg jangan lupa follow Ernawati Sihotang,0
2025-11-05T11:30:04Z,@Marcelgamers1614,"Gak dicium dulu kah makananya,takut nya ada yang  basi",0
2025-11-05T11:16:04Z,@AbizarAlGhiFahri-jc4oe,Kan aku habis habis sekolahan MI apa ABG,0
2025-11-05T11:02:16Z,@DianNuraprillia,Blm😢,0
2025-11-05T10:02:07Z,@renaoktora1828,Aku mah udah lama banget 😊,0
2025-11-05T09:21:00Z,@dzkadzka,Aku belum 😞😞😞😞😞,0
2025-11-05T08:50:22Z,@UmmuUmmara,Aku  udah  dapet   mbg,0
2025-11-05T07:08:47Z,@amboyoselatan2708,Woi sekolah ku juga ada mbg 😘,0
2025-11-05T07:06:47Z,@Aniyah123-p4v,Aku udah dapat mbg,0
2025-11-05T06:09:54Z,@dedebayi8084,😊😊😊😮😮😮😮😂😂❤😊😊,0
2025-11-05T06:02:02Z,@harrisonluther3968,Aku belumm,0
