publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-09T13:09:19Z,@ZaujatisuryatiZaujati,😆😆😆😆😆😆😆😆😆😆😆😂😂😂😂😂😂😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣,0
2025-11-09T12:40:44Z,@YantiPatimah-r6v1r,😂😂😂😂😂huh teriyak<br>lagi cantik🥰,0
2025-11-09T12:35:07Z,@gedejestin8070,😭😂😂😂😂,0
2025-11-09T12:24:08Z,@vivieanetha5624,Nombor Satu paling kocak😂😂😂😂😂😂,0
2025-11-09T12:22:23Z,@radenapau1456,😅😂😅😂😅😂😅🤣🤣🤣😂😂😅,0
2025-11-09T12:17:59Z,@RafaelLalindu-g6j,Di kelasku begitu tapi direbut,1
2025-11-09T12:05:42Z,@topikgelap7023,Norak lu,0
2025-11-09T11:31:51Z,@WindaSiregar-ue6lw,Kenyang,0
2025-11-09T11:14:54Z,@MaulanaF-i2f,Mbg=makanan berulat gratis,0
2025-11-09T10:58:11Z,@jovinniyo2143,wkwkwkwkwkwkwkwkwkwk😂😂😂😂😂😂😂😂😂😂😂😂😂wkwkwkw,0
2025-11-09T10:57:32Z,@AhmadArsyil-h2q,😂😂😂😂😂😂😂😂,0
2025-11-09T10:38:54Z,@ryageulis_sant,Yang terakhir itu Pake garpu  ancur mbg terus dilempar lagi,0
2025-11-09T10:32:14Z,@santiocta8205,Yang terakhir lucu banget😂😂😂😂😂😂,0
2025-11-09T10:24:52Z,@hafiz-o7q1m,endingnya lucu banget,0
2025-11-09T09:50:37Z,@muhammadmuhammadhanif4831,😂😂😂😂😂😂😂😂😂😂😂,0
2025-11-09T07:59:01Z,@AbdRahmanAbdul-r4w,😅😅😅😅😂😂😂😂😂😂🤣😅😁😄,0
2025-11-09T07:40:50Z,@FayholaSinaga,😂😂😂😂😅😅😅😅😅😅😅😊😊😊😊😊😊😊😊😊😊😊8eys8d0fk8h0❤🎉🎉😮,0
2025-11-09T07:16:21Z,@MuntahalKhoir-f4l,Yang terakhir lucu banget ngakak aja 😂😂😂😂😂😂,0
2025-11-09T06:30:39Z,@argaproplayer99,Yang terakhir beh mantapp lempar tutup mbg anjay 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
2025-11-09T05:36:59Z,@Fina-e8o,nomor 1 paling lucu sampe di lempar tutup nasi nya 😅😅😅😅😅😅,1
2025-11-09T05:03:33Z,@handokobudiantoro6964,Penak men Kowe le njenengi,0
2025-11-09T04:49:47Z,@SihalohoSinapuran,Berlomba jadi govlokk,0
2025-11-09T04:47:33Z,@uswatunhasanah5761,😂😂😂😂😂😂,0
2025-11-09T04:46:21Z,@ParidaHariani-b6k,Napa gurunya diam aja muridnya kurang ajar,0
2025-11-09T04:17:30Z,@KholilYullah,😂😅,0
2025-11-09T04:04:42Z,@KristinaKristina-x1m1q,😂😂😂😂😂😂😂,0
2025-11-09T03:23:43Z,@SitiHadijah-x8j,Astaghfirullahaladzim,0
2025-11-09T03:08:22Z,@emoji_cat-officialo6r,Nomor 5 cantik banget,1
2025-11-09T06:46:03Z,@RolandoPetrosian-w7x,iya bjr,0
2025-11-09T03:07:19Z,@JuanAn-vd4ec,😹,0
2025-11-09T02:59:14Z,@kasmatene3932,12345😂😂😂,0
2025-11-09T02:08:53Z,@NopalQush,Gila,0
2025-11-09T01:42:28Z,@UmaUma-d3n,😅,0
2025-11-09T00:10:57Z,@suherlanrcc6110,😂😂😂😂😅😂😂😂😂😂😂😅😂😊😂😊😂😊😂😊😊😂😅😂😊😂,0
2025-11-08T16:04:54Z,@naslizanurmansyah3675,I 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
2025-11-08T14:28:45Z,@azzamahmad234,4,0
2025-11-08T14:04:36Z,@Hoki88-f1k,Kakk aku juga ada mbg,0
2025-11-08T13:46:29Z,@SuardiPirdaus-z5z,Hahahahahaha 🤣🤣🤣,0
